profile_id,in_degree,in_strength,mean_rating,authority_score,popularity_rank_pct,prestige_rank_pct,prestige_gap
142768,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142735,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142981,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142659,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142920,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142995,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
143064,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
143008,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142685,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142691,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
143135,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142675,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142812,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142649,1,9.0,9.0,0.00011706678884987992,0.0964826532063131,0.5251818806578511,0.428699227451538
142731,2,9.0,4.5,0.00011452481300217509,0.0964826532063131,0.522092279254941,0.42560962604862784
143130,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
143080,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
143057,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
142934,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
143053,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
142904,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
142880,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
142642,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
142886,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
143121,1,8.0,8.0,0.00010405936786655991,0.08358808474335276,0.5083120053083084,0.42472392056495567
