profile_id,in_degree,in_strength,mean_rating,authority_score,popularity_rank_pct,prestige_rank_pct,prestige_gap
606,33389,333761.0,9.99613645212495,0.18392611494076258,1.0,1.0,0.0
228,23639,224626.0,9.502347815051397,0.12907020710505107,0.9999940755486042,0.9999940755486042,0.0
1440,28398,221237.0,7.790583843932671,0.0067255784687312616,0.9999881510972084,0.9856272809137874,-0.014360870183421026
4963,21284,212429.0,9.980689719977448,0.013407137139263035,0.9999822266458126,0.9952485899805678,-0.004733636665244845
48,21387,212227.0,9.923177631271333,0.05292553939519569,0.9999763021944168,0.9997748708469596,-0.0002014313474572038
320,23649,196210.0,8.296756733899953,0.12139352155601917,0.999970377743021,0.9999881510972084,1.7773354187400336e-05
44,18550,152752.0,8.234609164420485,0.10539950573983127,0.9999644532916252,0.9999822266458126,1.7773354187400336e-05
475,23113,144969.0,6.2721844849219055,0.08721299242827492,0.9999585288402294,0.9999585288402294,0.0
1477,16049,137160.0,8.546326873948532,0.005971732168427866,0.9999526043888336,0.9830975401677805,-0.016855064221053095
479,20634,122681.0,5.945575264127169,0.05247814658671713,0.9999466799374378,0.999763021944168,-0.00018365799326980348
20,12185,121377.0,9.961181780878128,0.0904494412298062,0.999940755486042,0.999970377743021,2.962225697900056e-05
4408,15620,115786.0,7.412676056338028,0.0836929037471032,0.9999348310346462,0.9999348310346462,0.0
130,11600,115415.0,9.94956896551724,0.09217747073338539,0.9999289065832504,0.9999763021944168,4.73956111664009e-05
4485,11620,114580.0,9.860585197934595,0.004115914131052339,0.9999229821318546,0.9711834684108251,-0.028739513721029453
60,12576,112989.0,8.98449427480916,0.08592247061769165,0.9999170576804588,0.9999526043888336,3.554670837480067e-05
8066,13485,108748.0,8.064367816091954,0.07540535977977159,0.999911133229063,0.9999229821318546,1.1848902791600224e-05
422,10811,107503.0,9.943853482564055,0.07108449781425355,0.9999052087776672,0.9998933598748756,-1.1848902791600224e-05
5527,11117,106636.0,9.592156157236664,0.09029014577813532,0.9998992843262714,0.9999644532916252,6.516896535380123e-05
220,13190,105274.0,7.981349507202426,0.07326878074836077,0.9998933598748756,0.9998992843262714,5.924451395800112e-06
102,13451,105091.0,7.812876366069437,0.0853784260476934,0.9998874354234798,0.9999466799374378,5.924451395800112e-05
483,10398,103499.0,9.953741104058473,0.06451423441534952,0.999881510972084,0.9998874354234798,5.924451395800112e-06
6355,13308,102835.0,7.727306883077848,0.07786665367674703,0.9998755865206882,0.9999289065832504,5.332006256220101e-05
123,10017,99858.0,9.968852949985026,0.08452282244209033,0.9998696620692924,0.999940755486042,7.109341674960135e-05
645,16591,98564.0,5.9408112832258455,0.07358758248657765,0.9998637376178966,0.999911133229063,4.73956111664009e-05
2246,9694,96830.0,9.988652774912318,0.006185051627142711,0.9998578131665008,0.9839269633631925,-0.015930849803308278
